sourceIP,sourceTransportPort,destinationIP,destinationTransportPort,protocolIdentifier,flowStartSeconds,Throughput Standard Deviation,EWMA,ARIMA,Throughputs,EWMA Anomaly(T/F),ARIMA Anomaly(T/F),DBSCAN Anomaly(T/F)
10.10.1.25,47064,10.10.1.33,5201,6,2022-08-08T19:11:04.000-07:00,2.47868695469068E8,"[2.003374256E9, 3.0032712205E9, 3.50474368225E9, 3.755595127125E9, 3.8810214175625E9, 3.94319018228125E9, 3.973735875140625E9, 3.9895848510703125E9, 3.9978532015351562E9, 4.001737419767578E9, 4.003547631383789E9, 4.0050838396918945E9, 4.0037851483459473E9, 4.0041308381729736E9, 4.004961127586487E9, 4.0051165537932434E9, 4.0051819118966217E9, 4.005329693448311E9, 4.0057015472241554E9, 4.0048527431120777E9, 4.004938773056039E9, 4.0047947975280194E9, 4.0053576962640095E9, 4.0053061441320047E9, 4.0045332605660024E9, 4.004694433283001E9, 4.0050288946415005E9, 4.00485228882075E9, 4.005193272410375E9, 4.005139012205188E9, 4.005150514102594E9, 4.005237455051297E9, 4.0052445255256486E9, 4.005069091262824E9, 4.006012142131412E9, 4.0055798820657063E9, 4.005443312032853E9, 4.0059895790164266E9, 4.005647295008213E9, 4.0055890395041065E9, 4.0058649997520533E9, 4.0061629478760266E9, 4.006610044938013E9, 4.0058549999690065E9, 4.0055907379845033E9, 4.0055601784922514E9, 4.0055926137461257E9, 4.005237100373063E9, 4.0055838811865315E9, 4.0065882700932655E9, 4.006063653046633E9, 4.0058931160233164E9, 4.005501766011658E9, 4.005632198005829E9, 4.0054129180029144E9, 4.007092239501457E9, 4.0067468747507286E9, 4.0048772098753643E9, 4.005403186937682E9, 3.045458066968841E9]","","[4006748512.000000000000000000, 4003168185.000000000000000000, 4006216144.000000000000000000, 4006446572.000000000000000000, 4006447708.000000000000000000, 4005358947.000000000000000000, 4004281568.000000000000000000, 4005433827.000000000000000000, 4006121552.000000000000000000, 4005621638.000000000000000000, 4005357843.000000000000000000, 4006620048.000000000000000000, 4002486457.000000000000000000, 4004476528.000000000000000000, 4005791417.000000000000000000, 4005271980.000000000000000000, 4005247270.000000000000000000, 4005477475.000000000000000000, 4006073401.000000000000000000, 4004003939.000000000000000000, 4005024803.000000000000000000, 4004650822.000000000000000000, 4005920595.000000000000000000, 4005254592.000000000000000000, 4003760377.000000000000000000, 4004855606.000000000000000000, 4005363356.000000000000000000, 4004675683.000000000000000000, 4005534256.000000000000000000, 4005084752.000000000000000000, 4005162016.000000000000000000, 4005324396.000000000000000000, 4005251596.000000000000000000, 4004893657.000000000000000000, 4006955193.000000000000000000, 4005147622.000000000000000000, 4005306742.000000000000000000, 4006535846.000000000000000000, 4005305011.000000000000000000, 4005530784.000000000000000000, 4006140960.000000000000000000, 4006460896.000000000000000000, 4007057142.000000000000000000, 4005099955.000000000000000000, 4005326476.000000000000000000, 4005529619.000000000000000000, 4005625049.000000000000000000, 4004881587.000000000000000000, 4005930662.000000000000000000, 4007592659.000000000000000000, 4005539036.000000000000000000, 4005722579.000000000000000000, 4005110416.000000000000000000, 4005762630.000000000000000000, 4005193638.000000000000000000, 4008771561.000000000000000000, 4006401510.000000000000000000, 4003007545.000000000000000000, 4005929164.000000000000000000, 2085512947.000000000000000000]","[true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]",[false],"[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]"
10.10.1.25,35884,10.10.1.33,5201,6,2022-08-08T17:37:25.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.25,45034,10.10.1.33,5201,6,2022-08-08T18:53:58.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.36,41645,10.10.0.3,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.36,39167,10.10.0.2,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.36,59471,10.10.0.3,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.25,37154,10.10.1.33,5201,6,2022-08-08T21:41:26.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.36,51460,10.10.0.2,53,6,2022-08-11T05:03:53.000-07:00,"",[292.0],"",[584.000000000000000000],[false],[false],[true]
10.10.1.25,41022,10.10.1.33,5201,6,2022-08-10T20:23:47.000-07:00,9.506604884902813E7,"[2.0031247775E9, 3.00422457875E9, 3.504223645875E9, 3.7546758609375E9, 3.87758832046875E9, 3.941620600234375E9, 3.9739240581171875E9, 3.9898532705585938E9, 3.997689471779297E9, 4.0015030958896484E9, 4.003703789444824E9, 4.004931692722412E9, 4.004898060361206E9, 4.005662954680603E9, 4.0055901713403015E9, 4.0049881416701508E9, 4.0048148228350754E9, 4.0054525839175377E9, 4.005506579958769E9, 4.0063781699793844E9, 4.005824866989692E9, 4.0054865819948463E9, 4.005449581997423E9, 4.0055970369987116E9, 4.005243671999356E9, 4.0053613119996777E9, 4.005964703999839E9, 4.0051196459999194E9, 4.00582724349996E9, 4.00567877024998E9, 4.00550944562499E9, 4.004971853812495E9, 4.0047161874062476E9, 4.005450288703124E9, 4.005496900851562E9, 4.0063157719257812E9, 4.0059102984628906E9, 4.0057887492314453E9, 4.0056789136157227E9, 4.0056372548078613E9, 4.0055519454039307E9, 4.0055606287019653E9, 4.0055998693509827E9, 4.0055865426754913E9, 4.0060630583377457E9, 4.005798308168873E9, 4.0056777440844364E9, 4.005485886042218E9, 4.005896827521109E9, 4.0060080632605543E9, 4.005607077630277E9, 4.005579807315139E9, 4.0051115706575694E9, 4.005093365828785E9, 4.0056374219143925E9, 4.005870617957196E9, 4.005700367978598E9, 4.007613412489299E9, 4.0064676982446494E9, 3.637844751122325E9]","","[4006249555.000000000000000000, 4005324380.000000000000000000, 4004222713.000000000000000000, 4005128076.000000000000000000, 4000500780.000000000000000000, 4005652880.000000000000000000, 4006227516.000000000000000000, 4005782483.000000000000000000, 4005525673.000000000000000000, 4005316720.000000000000000000, 4005904483.000000000000000000, 4006159596.000000000000000000, 4004864428.000000000000000000, 4006427849.000000000000000000, 4005517388.000000000000000000, 4004386112.000000000000000000, 4004641504.000000000000000000, 4006090345.000000000000000000, 4005560576.000000000000000000, 4007249760.000000000000000000, 4005271564.000000000000000000, 4005148297.000000000000000000, 4005412582.000000000000000000, 4005744492.000000000000000000, 4004890307.000000000000000000, 4005478952.000000000000000000, 4006568096.000000000000000000, 4004274588.000000000000000000, 4006534841.000000000000000000, 4005530297.000000000000000000, 4005340121.000000000000000000, 4004434262.000000000000000000, 4004460521.000000000000000000, 4006184390.000000000000000000, 4005543513.000000000000000000, 4007134643.000000000000000000, 4005504825.000000000000000000, 4005667200.000000000000000000, 4005569078.000000000000000000, 4005595596.000000000000000000, 4005466636.000000000000000000, 4005569312.000000000000000000, 4005639110.000000000000000000, 4005573216.000000000000000000, 4006539574.000000000000000000, 4005533558.000000000000000000, 4005557180.000000000000000000, 4005294028.000000000000000000, 4006307769.000000000000000000, 4006119299.000000000000000000, 4005206092.000000000000000000, 4005552537.000000000000000000, 4004643334.000000000000000000, 4005075161.000000000000000000, 4006181478.000000000000000000, 4006103814.000000000000000000, 4005530118.000000000000000000, 4009526457.000000000000000000, 4005321984.000000000000000000, 3269221804.000000000000000000]","[true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]",[false],"[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]"
10.10.1.25,40018,10.10.1.33,5201,6,2022-08-08T18:12:11.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
